Voted_Candidate,Reason_for_Choosing,Winning_Party_Guess,Most_Important_Issue_to_be_Addressed,Age,Gender,Religion,Race,Highest_Educational_Qualification,Occupation,District
Gotabhaya Rajapaksha (SLPP),Intelligent and good personality.,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,27,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Galle
Gotabhaya Rajapaksha (SLPP),Issues in national security,Sri Lanka Podujana Peramuna (SLPP),National Security,27,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Gotabhaya Rajapaksha (SLPP),He is experienced and educated. Has a vision about how to develop the country.,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Galle
Gotabhaya Rajapaksha (SLPP),His clear vision of development and proven actions that showed he can change the country.,Sri Lanka Podujana Peramuna (SLPP),Financial Stability and Freedom,29,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Galle
Gotabhaya Rajapaksha (SLPP),it will be the best option at the moment,Sri Lanka Podujana Peramuna (SLPP),National Security,25,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Hambantota
Gotabhaya Rajapaksha (SLPP),Proven track record,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,26,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Galle
Anura Kumara Dissanayake (NPP),He has a clear vision,National People's Party (NPP),National Security,26,Male,Islam,Sri Lankan Moor,Graduate / Professional,Employed in the Private Sector,Gampaha
Other,Still not in a position to decide who deserves the presidentship... In my view no nominee is capable of do something effective to the country.,Other,"Employment opportunities, financial stability and freedom, corruption",27,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
General Mahesh Senanayake (NPM),Since he has some educated people around him,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,27,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Matara
Gotabhaya Rajapaksha (SLPP),,Sri Lanka Podujana Peramuna (SLPP),National Security,27,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Other,,Other,Corruption,27,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Kalutara
General Mahesh Senanayake (NPM),Others are not upto the expected standard,New Democratic Front (NDF),Corruption,26,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Anura Kumara Dissanayake (NPP),Need to reject two main political parties,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Religious Issues, Financial Stability and Freedom, International Involvements",33,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Nuwara Eliya
Gotabhaya Rajapaksha (SLPP),He is proved example when it compare with the other candidate,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Employment Opportunities, Ethnic Issues, Religious Issues, International Involvements, Financial Stability and Freedom, Corruption, Security",34,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Other,I cannot decide because I have to choose the best from the worst ,Other,"National Security, Living Expenses, Development of the Country, Employment Opportunities, Ethnic Issues, Religious Issues, International Involvements, Financial Stability and Freedom, Corruption, Security",30,Female,Atheist,Sri Lankan Tamil,Graduate / Professional,Employed in the Private Sector,Colombo
Other,,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Employment Opportunities, Ethnic Issues, Religious Issues, International Involvements, Financial Stability and Freedom, Corruption",25,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Matara
Gotabhaya Rajapaksha (SLPP),A better leader than others,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Financial Stability and Freedom, Corruption, Security",28,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
General Mahesh Senanayake (NPM),Other candidates surrounded by corrupt ministors,Sri Lanka Podujana Peramuna (SLPP),Financial Stability and Freedom,30,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Other,,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Corruption",23,Male,Buddhist,Sinhalese,Passed A/L,Employed in the Private Sector,Colombo
Anura Kumara Dissanayake (NPP),In their development plan they have strategies to achieve the development in the said areas,Sri Lanka Podujana Peramuna (SLPP),"Living Expenses, Development of the Country, Financial Stability and Freedom, Security",28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Galle
Anura Kumara Dissanayake (NPP),AKD is the only leader with an allround clear cut plan to solve economic and social issues.  Others are only giving gallery speeches without proper plans. ,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Employment Opportunities, Financial Stability and Freedom, Corruption",29,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Matara
Other,All the above candidates are not qualified for the post. They all have their own agendas and no one really willing to work for the betterment of country. Will monitor till the election date and then will choose a candidate. Probably it will be an alternative candidate.,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Ethnic Issues, Religious Issues, Financial Stability and Freedom, Corruption, Security, Democracy and Freedom",30,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Galle
Other,Privacy ,Do not Know,Development of the Country,27,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Other,Still gathering facts,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Ethnic Issues",25,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Gotabhaya Rajapaksha (SLPP),Security of the country,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses",32,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Anura Kumara Dissanayake (NPP),Have good future plan,National People's Party (NPP),"National Security, Living Expenses, Development of the Country, Employment Opportunities, Ethnic Issues, Religious Issues, International Involvements, Financial Stability and Freedom",30,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Sajith Premadasa (NDF),"I believe, the only candidate with vision and a mision is Rohan Pallewatte. Since he ia not going to win for sure the 2nd worst candidate Sajith is my option to eliminate worst candidate Gotabaya. Do not want to waste my vote such a crucial election. Would hve gone with beat option if it was a parliamentary election.",New Democratic Front (NDF),Financial Stability and Freedom,32,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
General Mahesh Senanayake (NPM),,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Employment Opportunities, Financial Stability and Freedom, Security",27,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
General Mahesh Senanayake (NPM),Education and has a good team,Sri Lanka Podujana Peramuna (SLPP),Security,28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Other,,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,29,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Kandy
Other,,Sri Lanka Podujana Peramuna (SLPP),"National Security, International Involvements, Financial Stability and Freedom, Corruption",28,Female,Christian,Sinhalese,Graduate / Professional,Employed in the Private Sector,Badulla
Other,,Do not Know,Living Expenses,29,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in Government Sector,Kandy
Rohan Pallewatta,No suppoter from existing parties. He is kind of a visionary person I guess. Thinks in a modern way.,Other,"Development of the Country, Ethnic Issues, Religious Issues, Corruption",28,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in Government Sector,Gampaha
Gotabhaya Rajapaksha (SLPP),"Out of all the candidates, he would perform  better than others",New Democratic Front (NDF),"National Security, Financial Stability and Freedom, Corruption",28,Female,Buddhist,Sinhalese,Graduate / Professional,Unemployed,Gampaha
Gotabhaya Rajapaksha (SLPP),Will be a strict ruler who will pay much attention on the development of the country. ,Sri Lanka Podujana Peramuna (SLPP),"Development of the Country, Financial Stability and Freedom, Security",29,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Kandy
Other,,Other,"Ethnic Issues, Religious Issues, Financial Stability and Freedom",28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Gotabhaya Rajapaksha (SLPP),We need a pure change,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Employment Opportunities, Religious Issues, Financial Stability and Freedom, Corruption, Security",29,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Other,,Sri Lanka Podujana Peramuna (SLPP),"National Security, Corruption",63,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in Government Sector,Colombo
Sajith Premadasa (NDF),Family history ,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,28,Female,Christian,Sinhalese,Graduate / Professional,Employed in Government Sector,Colombo
General Mahesh Senanayake (NPM),,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Financial Stability and Freedom",28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Other,Not decided yet,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Corruption",29,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Galle
Other,,Do not Know,"Development of the Country, Financial Stability and Freedom, Corruption",29,Female,Roman Catholic,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
General Mahesh Senanayake (NPM),Country should move forward with uncorrupted leaders with a national policy.  Both main parties have proved incapable over 70 years.  ,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Gotabhaya Rajapaksha (SLPP),Not a politician and has a logical vision for the country development ,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Employment Opportunities, Corruption",29,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in Government Sector,Galle
Other,,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,25,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
General Mahesh Senanayake (NPM),Fed up with current political agenda,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Employment Opportunities, Ethnic Issues, Religious Issues, International Involvements, Financial Stability and Freedom, Corruption, Security",26,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Gotabhaya Rajapaksha (SLPP),Country without terrorism and dictator who loves prosperous country ,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Religious Issues, International Involvements, Financial Stability and Freedom",31,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Kandy 
Other,,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,28,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Gotabhaya Rajapaksha (SLPP),his work ethics and talent shown in the past,Sri Lanka Podujana Peramuna (SLPP),National Security,33,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Gotabhaya Rajapaksha (SLPP),His policies and past work he has done.  ,Do not Know,National Security,29,Female,Buddhist,Sinhalese,Passed A/L,Student,Gampaha
Other,,Do not Know,"National Security, Living Expenses, Development of the Country, Financial Stability and Freedom, Security",29,Female,Hindu,Sri Lankan Tamil,Graduate / Professional,Employed in the Private Sector,Jaffna
Other,,Sri Lanka Podujana Peramuna (SLPP),"Living Expenses, Development of the Country, Ethnic Issues, Religious Issues, Financial Stability and Freedom, Corruption",28,Male,Athiest,Sinhalese,Graduate / Professional,Employed in the Private Sector,Galle
Gotabhaya Rajapaksha (SLPP),Because i don't think others have the capability to become the president,Sri Lanka Podujana Peramuna (SLPP),I don't think there is one single important issue. Most of the above are highly important and need to be addressed simultaneously ,28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Other,Still Other the Candidate,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Financial Stability and Freedom",28,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Gotabhaya Rajapaksha (SLPP),Has a potential to make this country by good administration ,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Employment Opportunities, Religious Issues, Financial Stability and Freedom, Corruption",28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Anura Kumara Dissanayake (NPP),History is a non corrupt one,Sri Lanka Podujana Peramuna (SLPP),"National Security, Religious Issues, Financial Stability and Freedom, Corruption",28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Sajith Premadasa (NDF),best among the rest,New Democratic Front (NDF),"National Security, Living Expenses, Development of the Country, International Involvements, Financial Stability and Freedom, Corruption",24,Female,Hindu,Sri Lankan Tamil,Graduate / Professional,Student,Colombo
Other,None of the above candidates are suitable to become the president of sri-lanka ,Do not Know,"Living Expenses, Development of the Country, Employment Opportunities, Financial Stability and Freedom, Corruption",26,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
General Mahesh Senanayake (NPM),Fed up with existing governing systems,Sri Lanka Podujana Peramuna (SLPP), Law and Order of the country,38,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
General Mahesh Senanayake (NPM),Both main parties has involved many curruptions and they fail to develop country in many times,Do not Know,Development of the Country,30,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Kurunegala
Other,,Do not Know,National Security,29,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Gotabhaya Rajapaksha (SLPP),Almost all the candidates are not 100% suitable. But the policies of Gotabhaya is somewhat attractve and trustable.,Sri Lanka Podujana Peramuna (SLPP),"National Security, Ethnic Issues, Religious Issues, International Involvements, Corruption",23,Male,Buddhist,Sinhalese,Passed A/L,Student,Galle
Gotabhaya Rajapaksha (SLPP),He is better than others when compared with all other candidates,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Financial Stability and Freedom, Corruption, Security",23,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Kalutara
General Mahesh Senanayake (NPM),Need a change to traditional system,National People’s Movement (NPM),Law,31,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Matara
Gotabhaya Rajapaksha (SLPP),Ethnic protection. ,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Employment Opportunities, Ethnic Issues, Religious Issues, Security",27,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Anuradhapura
Anura Kumara Dissanayake (NPP),Truthfully politics with correcting pass errors,New Democratic Front (NDF),"National Security, Ethnic Issues, International Involvements, Financial Stability and Freedom",30,Male,Buddhist,Sinhalese,Graduate / Professional,Self Employed,Galle
Gotabhaya Rajapaksha (SLPP),,Other,"National Security, Development of the Country, Employment Opportunities, Ethnic Issues, Financial Stability and Freedom",23,Female,Buddhist,Sinhalese,Graduate / Professional,Student,Colombo
Gotabhaya Rajapaksha (SLPP),,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Ethnic Issues, Corruption",23,Male,Buddhist,Sinhalese,Graduate / Professional,Student,Gampaha
Gotabhaya Rajapaksha (SLPP),Because his policies are good,Sri Lanka Podujana Peramuna (SLPP),"National Security, Ethnic Issues, Religious Issues, Financial Stability and Freedom",23,Male,Buddhist,Sinhalese,Passed A/L,Student,Galle
Other,,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Religious Issues, Financial Stability and Freedom",23,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Matara
Other,,New Democratic Front (NDF),"National Security, Living Expenses, Development of the Country, Employment Opportunities, Ethnic Issues, Religious Issues, International Involvements, Financial Stability and Freedom, Corruption, Security",24,Female,Buddhist,Sinhalese,Passed A/L,Employed in the Private Sector,Hambantota
Gotabhaya Rajapaksha (SLPP),He would be a good president ,Sri Lanka Podujana Peramuna (SLPP),National Security,22,Female,Buddhist,Sinhalese,Graduate / Professional,Student,Kalutara
General Mahesh Senanayake (NPM),Because other all parties are corrupted.,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Corruption",27,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Gotabhaya Rajapaksha (SLPP),,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, International Involvements, Corruption, Security",31,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Galle
Anura Kumara Dissanayake (NPP),No thieves,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Financial Stability and Freedom",21,Male,Buddhist,Sinhalese,Passed A/L,Employed in the Private Sector,Colombo
Gotabhaya Rajapaksha (SLPP),Development ,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Employment Opportunities, Ethnic Issues, Religious Issues, International Involvements, Financial Stability and Freedom, Corruption, Security",23,Male,Hindu,Sri Lankan Tamil,Graduate / Professional,Employed in the Private Sector,Jaffna
Anura Kumara Dissanayake (NPP),hopes we can expect little bit honesty ,Do not Know,"National Security, Living Expenses, Development of the Country, Religious Issues, Financial Stability and Freedom, Corruption",32,Male,Islam,Sri Lankan Moor,Graduate / Professional,Employed in the Private Sector,Colombo
Anura Kumara Dissanayake (NPP),,Do not Know,"National Security, Living Expenses, Development of the Country, Ethnic Issues, Religious Issues",29,Male,Islam,Sri Lankan Moor,Graduate / Professional,Employed in the Private Sector,Ampara
General Mahesh Senanayake (NPM),,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Ethnic Issues, Religious Issues, Corruption",32,Male,Buddhist,Sinhalese,Passed O/L,Employed in the Private Sector,Gampaha
Gotabhaya Rajapaksha (SLPP),"He has proved him self as a responsible person, specially in the past few years. He is a well educated, trust worthy person who has the capacity to develop this country.",Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, International Involvements, Financial Stability and Freedom, Corruption",27,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Kalutara
General Mahesh Senanayake (NPM),Long term decision,National People’s Movement (NPM),"National Security, Development of the Country, Security",25,Female,Islam,Sri Lankan Moor,Graduate / Professional,Employed in the Private Sector,Colombo
Gotabhaya Rajapaksha (SLPP),,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Religious Issues, Corruption",24,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Matara
Gotabhaya Rajapaksha (SLPP),,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Security",28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Matara
General Mahesh Senanayake (NPM),He seems to have good policies,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, International Involvements, Financial Stability and Freedom, Corruption",28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Other,,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Employment Opportunities, Financial Stability and Freedom, Corruption",28,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
General Mahesh Senanayake (NPM),,National People’s Movement (NPM),Financial Stability and Freedom,26,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Other,,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Employment Opportunities, Religious Issues, International Involvements, Financial Stability and Freedom",26,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Galle
Anura Kumara Dissanayake (NPP),,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Financial Stability and Freedom, Corruption",25,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Sajith Premadasa (NDF),,New Democratic Front (NDF),"National Security, Corruption",30,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Gotabhaya Rajapaksha (SLPP),based on the past services done for the country,Sri Lanka Podujana Peramuna (SLPP),"Employment Opportunities, Financial Stability and Freedom, Corruption",25,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Gotabhaya Rajapaksha (SLPP),,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Employment Opportunities, Financial Stability and Freedom, Corruption, Security",32,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Gotabhaya Rajapaksha (SLPP),winning horse. Someone who will jeep the country intact,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Employment Opportunities, Ethnic Issues, Religious Issues, Financial Stability and Freedom, Security",22,Male,Buddhist,Sinhalese,Undergraduate,Student,Gampaha
General Mahesh Senanayake (NPM),Fedup of current politics,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,24,Female,Buddhist,Sinhalese,Graduate / Professional,Student,Gampaha
Gotabhaya Rajapaksha (SLPP),,Do not Know,"National Security, Development of the Country, Employment Opportunities, International Involvements, Financial Stability and Freedom, Security",26,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Gotabhaya Rajapaksha (SLPP),"He is a proven government officer, not a corrupted politician",Do not Know,"National Security, Financial Stability and Freedom, Corruption, Security, Transportation",34,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Galle
General Mahesh Senanayake (NPM),Current political parties are full of corruption and they only concern about them selves only ,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, International Involvements, Financial Stability and Freedom, Corruption, Security",37,Male,Christian,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Gotabhaya Rajapaksha (SLPP),,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Employment Opportunities",28,Female,Buddhist,Sinhalese,Graduate / Professional,Unemployed,Gampaha
Gotabhaya Rajapaksha (SLPP),There is no candidate to even compare with proven set of commuted work,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Ethnic Issues, International Involvements, Corruption, Security, People’s attitude which will be maintained by the law of the country. Proper law is needed. ",29,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Gotabhaya Rajapaksha (SLPP),,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Employment Opportunities, International Involvements, Financial Stability and Freedom",28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Gotabhaya Rajapaksha (SLPP),the better evil,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses",41,Male,Buddhist,Sinhalese,Passed A/L,Self Employed,Anuradhapura
Sajith Premadasa (NDF),,New Democratic Front (NDF),"National Security, Living Expenses, Development of the Country",52,Male,Buddhist,Sinhalese,Passed Grade 5,Self Employed,Galle
Sajith Premadasa (NDF),,New Democratic Front (NDF),"National Security, Living Expenses",48,Female,Buddhist,Sinhalese,Passed Grade 5,Unemployed,Galle
